City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2022-06-17 21:42:56,-33.5906,26.891,62.96,36,1,11.16
68,Severo-Kurilsk,RU,2022-06-17 21:42:57,50.6789,156.125,48.54,91,100,9.4
69,Iqaluit,CA,2022-06-17 21:42:57,63.7506,-68.5145,44.33,56,100,21.85
70,Sangar,RU,2022-06-17 21:42:57,63.9242,127.4739,58.1,74,31,3.18
71,Tuktoyaktuk,CA,2022-06-17 21:42:58,69.4541,-133.0374,66.2,45,75,0.0
72,Constanza,DE,2022-06-17 21:42:58,47.6603,9.1758,68.43,62,34,1.99
73,East London,ZA,2022-06-17 21:42:58,-33.0153,27.9116,64.69,30,0,8.5
74,Mahebourg,MU,2022-06-17 21:42:59,-20.4081,57.7,69.26,94,20,6.91
75,Airai,TL,2022-06-17 21:42:59,-8.9266,125.4092,56.53,94,25,3.98
76,Santa Helena De Goias,BR,2022-06-17 21:42:59,-17.8136,-50.5969,76.3,36,0,1.5
77,Haimen,CN,2022-06-17 21:43:00,23.1935,116.6142,76.89,91,100,6.6
78,Tuatapere,NZ,2022-06-17 21:43:00,-46.1333,167.6833,42.24,87,79,3.58
79,Rosetta,EG,2022-06-17 21:43:00,31.4044,30.4164,74.23,82,0,12.08
80,Uniao,BR,2022-06-17 21:43:01,-4.5858,-42.8642,76.55,73,93,1.43
81,Camacha,PT,2022-06-17 21:43:01,33.0833,-16.3333,65.62,77,40,13.8
82,Broome,US,2022-06-17 21:43:02,42.2506,-75.833,78.35,53,75,11.5
83,Sorrento,IT,2022-06-17 21:38:38,40.626,14.3744,74.34,84,75,5.01
84,Pombia,IT,2022-06-17 21:43:02,45.653,8.6336,82.22,61,0,6.91
85,Buraydah,SA,2022-06-17 21:43:03,26.326,43.975,93.65,14,3,9.69
86,Cidreira,BR,2022-06-17 21:43:03,-30.1811,-50.2056,59.74,91,100,18.61
87,Basco,PH,2022-06-17 21:43:03,20.4487,121.9702,84.81,75,74,9.15
88,Mapastepec,MX,2022-06-17 21:43:04,15.4333,-92.9,80.53,86,87,3.18
89,Ribeira Grande,PT,2022-06-17 21:42:06,38.5167,-28.7,68.13,88,2,8.28
90,Aklavik,CA,2022-06-17 21:44:05,68.2191,-135.0107,75.72,27,59,20.18
91,Bayan,CN,2022-06-17 21:44:05,46.0833,127.4,64.99,72,7,6.06
92,Nouadhibou,MR,2022-06-17 21:41:45,20.931,-17.0347,71.58,73,0,23.02
93,Hobyo,SO,2022-06-17 21:44:05,5.3505,48.5268,78.24,80,94,24.92
94,Bonfim,BR,2022-06-17 21:44:06,3.0833,-59.95,84.15,75,6,2.98
95,Along,IN,2022-06-17 21:44:06,28.1667,94.7667,70.68,99,100,1.3
96,Bethel,US,2022-06-17 21:43:08,41.3712,-73.414,87.89,41,0,10.36
97,Pasighat,IN,2022-06-17 21:44:07,28.0667,95.3333,72.82,99,100,1.23
